,,t1,n2,n3,n4
20181112,1735,72.14,94.15,45.57,49.8
20181112,1740,74.98,91.13,46.33,49.8
20181112,1745,69.22,93.65,47.28,49.88
20181112,1750,66.94,93.11,46.71,50.2
20181112,1755,68.53,90.47,55.52,51.74
20181112,1800,68.61,92.8,72.77,48.4
20181112,1805,62.26,89.77,74.77,45.66
20181112,1810,57.78,89.74,83.81,43.47
20181112,1815,58.89,86.95,83.08,33.69
20181112,1820,54.17,90.44,84.42,30.21
20181112,1825,58.4,88.65,87.93,29.35
20181112,1830,57.64,91.18,84.65,26.83
20181112,1835,64.38,91.4,81.71,34.39
20181112,1840,65.95,89.34,73.82,37.99
20181112,1845,67.32,87.76,60.88,47.63
20181112,1850,67.96,92.2,63.76,55.45
20181112,1855,70.02,89.96,63.18,59.38
20181112,1900,71.28,90.91,62.76,48.58
20181112,1905,74.5,92.47,61.81,49.16
20181112,1910,73.73,92.98,61.69,50.3
20181112,1915,73.67,90.12,59.05,74.9
20181112,1920,72.72,91.21,73.13,74.13
20181112,1925,72.99,92.32,75.12,72.26
20181112,1930,70.27,93.41,69.17,73.05
20181112,1935,71.05,91.16,73.77,71.09
20181112,1940,75.39,93.12,79.67,73.26
20181112,1945,74.2,93.11,78.28,69.56
20181112,1950,76.27,96.37,84.15,62.9
20181112,1955,74.44,93.48,84.85,63.02
20181112,2000,71.82,93.38,83.24,68.06
20181112,2005,72.15,94.45,91.44,70.26
20181112,2010,71.85,92.82,96.63,75.55
20181112,2015,79.06,93.47,97.05,80.08
20181112,2020,83.38,92.97,98.92,84.62
20181112,2025,85.87,92.75,96.67,83.52
20181112,2030,85.82,92.43,99.1,85.39
20181112,2035,85.67,93.59,98.11,81.3
20181112,2040,86.74,91.65,97.5,84.68
20181112,2045,86.34,95.24,99.4,84.15
20181112,2050,86.99,92.98,97.5,87.58
20181112,2055,87.29,93.26,98.13,84.73
20181112,2100,90.89,95.29,100.25,88.06
20181112,2105,91.09,95.2,100.33,85.6
20181112,2110,87.46,93.08,99.2,82.08
20181112,2115,84.1,93.32,98.93,83.09
20181112,2120,83.56,91.78,99.02,93.18
20181112,2125,85.39,96.72,98.63,94.27
20181112,2130,92.11,93.34,100.1,99.17
20181112,2135,94.6,93.52,100.71,94.55
20181112,2140,92.1,94.81,98.52,93.76
20181112,2145,91.77,96.07,100.12,93.9
20181112,2150,93.49,96.03,100.9,99.06
20181112,2155,95.28,93.3,101.01,95.78
20181112,2200,95.53,96.58,97.89,92.74
20181112,2205,98.51,96.86,101.79,94.5
20181112,2210,94.25,95.74,100.91,97.05
20181112,2215,91.02,97.33,98.51,99.48
20181112,2220,95.71,96.56,100.35,95.87
20181112,2225,97.14,97.95,100.12,101.86
20181112,2230,100.47,97.03,99.83,102
20181112,2235,100.02,99.13,102.95,102.63
20181112,2240,99.56,97.22,101.53,99.81
20181112,2245,96.77,99.58,102.12,99.84
20181112,2250,98.77,99.8,98.38,100.35
20181112,2255,98.47,97.16,101.24,104.95
20181112,2300,99.81,98.57,101.5,100.73
20181112,2305,100.92,97.91,99.91,99.76
20181112,2310,100.6,98.9,98.92,102.93
20181112,2315,100.17,97.58,98.38,104.13
20181112,2320,102.81,100.2,98.56,102.17
20181112,2325,101.7,98.63,98.6,105.09
20181112,2330,101.09,98.83,100.34,101.3
20181112,2335,100.49,97.45,94.49,105.7
20181112,2340,103.22,99.82,97.57,104.37
20181112,2345,103.08,96.86,98.81,106.45
20181112,2350,100.57,97.79,98.07,105.63
20181112,2355,103.55,100.68,95.83,104.48
20181113,0,99.17,98.36,98.36,102.2
20181113,5,106.7,99.05,96.53,105.67
20181113,10,103.24,100.34,96.25,105.57
20181113,15,105.86,100.1,98.77,109.06
20181113,20,105.39,100.46,98.65,108.81
20181113,25,103.59,99.74,95.38,104.97
20181113,30,103.76,101.78,94.15,104.91
20181113,35,102.74,101.26,96.32,109.67
20181113,40,104.16,99.15,96.38,103.72
20181113,45,103.51,96.79,94.11,108.62
20181113,50,103.64,98.69,96.36,105.61
20181113,55,104.37,94.83,93.36,110.08
20181113,100,105.38,100.37,95.85,101.84
20181113,105,107.15,94.13,96.22,105.22
20181113,110,102.76,97.68,93.72,106.45
20181113,115,105.1,94.17,94.86,108.82
20181113,120,104.24,96.97,94.28,107.31
20181113,125,101.54,99.19,90.27,105.61
20181113,130,104.44,95.99,96.15,101.62
20181113,135,104.05,96.06,95.43,104.38
20181113,140,104.25,93.31,94.12,103.35
