,,t1,n1,n2,n3
20190625,1925,85.01,100,97.4,85.66
20190625,1930,91.05,98.66,98.39,78.6
20190625,1935,87.21,97.43,96.69,81.38
20190625,1940,88.01,97.71,98.95,87.02
20190625,1945,91.2,100.08,98.32,82.29
20190625,1950,89.82,98.43,100.19,84.14
20190625,1955,93.58,99.53,100.13,84.42
20190625,2000,90.58,98.19,97.58,75.83
20190625,2005,88.74,97.06,98.47,82.19
20190625,2010,87.63,98.88,98.19,80.13
20190625,2015,85.93,97.37,99.27,77.33
20190625,2020,83.95,96.05,98.49,73.43
20190625,2025,81.09,96.45,96.74,73.36
20190625,2030,84.01,97.36,97.73,72.7
20190625,2035,84.34,95.16,96.46,76.61
20190625,2040,86.07,90.22,95.53,82.97
20190625,2045,86.69,93.88,95.34,83.2
20190625,2050,87.17,92.72,97.94,81.97
20190625,2055,87.68,92.06,96.68,80.12
20190625,2100,89.26,93.87,97.54,81.88
20190625,2105,91.09,93.92,96.04,85.04
20190625,2110,92.01,93.15,96.43,85.88
20190625,2115,93.38,95.21,95.12,90.87
20190625,2120,90.76,96.44,97.13,90.33
20190625,2125,92.17,93.9,98.43,91.18
20190625,2130,88.91,94.74,98.04,87.71
20190625,2135,89.04,94.85,100.4,90.7
20190625,2140,90.72,95.11,97.12,88.21
20190625,2145,91.07,95.31,96.16,91.5
20190625,2150,91.66,96.06,95.26,93.44
20190625,2155,91.76,96.57,97.5,92.75
20190625,2200,92.89,96.93,95.58,91.99
20190625,2205,94.6,98.23,98.41,93.49
20190625,2210,95.28,97.03,98.48,93.16
20190625,2215,97.96,98.27,98.13,92.85
20190625,2220,96.89,96.13,99.9,96.97
20190625,2225,96.42,95.91,99.92,96.46
20190625,2230,95.96,98.31,100.62,93.89
20190625,2235,97.26,91.5,97.94,94.23
20190625,2240,98.66,94.63,101.32,99.57
20190625,2245,99,93.76,100.08,96.72
20190625,2250,98.51,98.69,96.34,98.47
20190625,2255,99.4,98.51,97.75,96.18
20190625,2300,95.65,98.14,100.41,96.96
20190625,2305,99.48,97.31,100.99,97.94
20190625,2310,99.36,99.27,99.92,100.35
20190625,2315,100.15,97.71,100.23,100.08
20190625,2320,97.96,103.43,100.11,101.65
20190625,2325,101.64,99.86,99.39,100.63
20190625,2330,99.49,99.35,96.64,102.3
20190625,2335,98.94,98.25,98.89,103.76
20190625,2340,101.5,99.23,98.13,100.08
20190625,2345,101.01,99.11,96.86,101.49
20190625,2350,99.48,95.95,98.76,100.17
20190625,2355,99.94,101.18,100.85,101.32
20190626,0,100.39,102.28,96.99,101.67
20190626,5,102.33,100.88,98.65,100.24
20190626,10,101.03,100.02,97.66,100.67
20190626,15,102.57,99.01,96.95,101.43
20190626,20,99.93,97.87,95.96,102
20190626,25,103.77,97.74,97.39,102.46
20190626,30,103.3,102.84,96.68,106.64
20190626,35,105.45,102.95,93.33,105.41
20190626,40,103.15,102.15,92.13,104.81
20190626,45,103.64,104.8,97.4,106.51
20190626,50,104.82,99.91,97.66,103.13
20190626,55,103.88,97.75,93.29,107.87
20190626,100,102.14,102.41,96.85,101.93
20190626,105,103.04,101.92,96.19,99.4
20190626,110,103.88,98.02,94.96,104.71
20190626,115,104.99,103.96,94.11,103.92
20190626,120,108.2,98.42,92.16,108.14
20190626,125,105.7,97.03,94.23,108.75
20190626,130,102.74,97.34,94.61,100.44
20190626,135,102.07,95.28,94.57,100.49
20190626,140,99.72,100,94.44,102.04
20190626,145,102.92,90.24,93.39,103.18
20190626,150,106.08,94.94,93.24,105.55
20190626,155,103.03,98.79,96.5,100.39
20190626,200,99.84,95.03,91.92,100.11
