,time,rainfall
0,일시,1분 강수량(mm)
885,2019-06-25 14:45,0
890,2019-06-25 14:50,0
895,2019-06-25 14:55,0
900,2019-06-25 15:00,0
905,2019-06-25 15:05,0
910,2019-06-25 15:10,0
915,2019-06-25 15:15,0
920,2019-06-25 15:20,0
925,2019-06-25 15:25,0
930,2019-06-25 15:30,0
935,2019-06-25 15:35,0
940,2019-06-25 15:40,0
945,2019-06-25 15:45,0
950,2019-06-25 15:50,0
955,2019-06-25 15:55,0
960,2019-06-25 16:00,0
965,2019-06-25 16:05,0
970,2019-06-25 16:10,0
975,2019-06-25 16:15,0
980,2019-06-25 16:20,0
985,2019-06-25 16:25,0
990,2019-06-25 16:30,0
995,2019-06-25 16:35,0
1000,2019-06-25 16:40,0
1005,2019-06-25 16:47,0
1010,2019-06-25 16:52,0
1015,2019-06-25 16:57,0
1020,2019-06-25 17:02,0
1025,2019-06-25 17:07,0
1030,2019-06-25 17:12,0
1035,2019-06-25 17:17,0
1040,2019-06-25 17:22,0
1045,2019-06-25 17:27,0
1050,2019-06-25 17:32,0
1055,2019-06-25 17:37,0
1060,2019-06-25 17:42,0
1065,2019-06-25 17:47,0
1070,2019-06-25 17:52,0
1075,2019-06-25 17:57,0
1080,2019-06-25 18:02,0
1085,2019-06-25 18:07,0
1090,2019-06-25 18:12,0
1095,2019-06-25 18:17,0
1100,2019-06-25 18:22,0
1105,2019-06-25 18:27,0
1110,2019-06-25 18:32,0
1115,2019-06-25 18:37,0
1120,2019-06-25 18:42,0
1125,2019-06-25 18:47,0
1130,2019-06-25 18:52,0
1135,2019-06-25 18:57,0
1140,2019-06-25 19:02,0
1145,2019-06-25 19:07,0
1150,2019-06-25 19:12,0
1155,2019-06-25 19:17,0
1160,2019-06-25 19:22,0
1165,2019-06-25 19:27,0
1170,2019-06-25 19:32,0
1175,2019-06-25 19:37,0
1180,2019-06-25 19:42,0
1185,2019-06-25 19:47,0
1190,2019-06-25 19:52,0
1195,2019-06-25 19:57,0
1200,2019-06-25 20:02,0
1205,2019-06-25 20:07,0
1210,2019-06-25 20:12,0
1215,2019-06-25 20:17,0
1220,2019-06-25 20:22,0
1225,2019-06-25 20:27,0
1230,2019-06-25 20:32,0
1235,2019-06-25 20:37,0
1240,2019-06-25 20:42,0
1245,2019-06-25 20:47,0
1250,2019-06-25 20:52,0
1255,2019-06-25 20:57,0
1260,2019-06-25 21:02,0
1265,2019-06-25 21:07,0
1270,2019-06-25 21:12,0
1275,2019-06-25 21:17,0
1280,2019-06-25 21:22,0
1285,2019-06-25 21:27,0
1290,2019-06-25 21:32,0
1295,2019-06-25 21:37,0
1300,2019-06-25 21:42,0
1305,2019-06-25 21:47,0
1310,2019-06-25 21:52,0
1315,2019-06-25 21:57,0
1320,2019-06-25 22:02,0
1325,2019-06-25 22:07,0
1330,2019-06-25 22:12,0
1335,2019-06-25 22:17,0
1340,2019-06-25 22:22,0
1345,2019-06-25 22:27,0
1350,2019-06-25 22:32,0
1355,2019-06-25 22:37,0
1360,2019-06-25 22:42,0
1365,2019-06-25 22:47,0
1370,2019-06-25 22:52,0
1375,2019-06-25 22:57,0
1380,2019-06-25 23:02,0
1385,2019-06-25 23:07,0
1390,2019-06-25 23:12,0
1395,2019-06-25 23:17,0
1400,2019-06-25 23:22,0
1405,2019-06-25 23:27,0
1410,2019-06-25 23:32,0
1415,2019-06-25 23:37,0
1420,2019-06-25 23:42,0
1425,2019-06-25 23:47,0
1430,2019-06-25 23:52,0
1435,2019-06-25 23:57,0
5,2019-06-26 0:05,0
10,2019-06-26 0:10,0
15,2019-06-26 0:15,0
20,2019-06-26 0:20,0
25,2019-06-26 0:25,0
30,2019-06-26 0:30,0
35,2019-06-26 0:35,0
40,2019-06-26 0:40,0
45,2019-06-26 0:45,0
50,2019-06-26 0:50,0
55,2019-06-26 0:55,0
60,2019-06-26 1:00,0
65,2019-06-26 1:05,0
70,2019-06-26 1:10,0
75,2019-06-26 1:15,0
80,2019-06-26 1:20,0
85,2019-06-26 1:25,0
90,2019-06-26 1:30,0
95,2019-06-26 1:35,0
100,2019-06-26 1:40,0
105,2019-06-26 1:45,0
110,2019-06-26 1:50,0
115,2019-06-26 1:55,0
120,2019-06-26 2:00,0
125,2019-06-26 2:05,0
130,2019-06-26 2:10,0
135,2019-06-26 2:15,0
140,2019-06-26 2:20,0
145,2019-06-26 2:25,0
150,2019-06-26 2:30,0
155,2019-06-26 2:35,0
160,2019-06-26 2:40,0
165,2019-06-26 2:45,0
170,2019-06-26 2:50,0
175,2019-06-26 2:55,0
180,2019-06-26 3:00,0
185,2019-06-26 3:05,0
190,2019-06-26 3:10,0
195,2019-06-26 3:15,0
200,2019-06-26 3:20,0
205,2019-06-26 3:25,0
210,2019-06-26 3:30,0
215,2019-06-26 3:35,0
220,2019-06-26 3:40,0
225,2019-06-26 3:45,0
230,2019-06-26 3:50,0
235,2019-06-26 3:55,0
240,2019-06-26 4:00,0
245,2019-06-26 4:05,0
250,2019-06-26 4:10,0
255,2019-06-26 4:15,0
260,2019-06-26 4:20,0
265,2019-06-26 4:25,0
270,2019-06-26 4:30,0
275,2019-06-26 4:35,0
280,2019-06-26 4:40,0
285,2019-06-26 4:45,0
290,2019-06-26 4:50,0
295,2019-06-26 4:55,0
300,2019-06-26 5:00,0
305,2019-06-26 5:05,0
310,2019-06-26 5:10,0
315,2019-06-26 5:15,0
320,2019-06-26 5:20,0
325,2019-06-26 5:25,0
330,2019-06-26 5:30,0
335,2019-06-26 5:35,0
340,2019-06-26 5:40,0
345,2019-06-26 5:45,0
350,2019-06-26 5:50,0
355,2019-06-26 5:55,0
360,2019-06-26 6:00,0
365,2019-06-26 6:05,0
370,2019-06-26 6:10,0
375,2019-06-26 6:15,0
380,2019-06-26 6:20,0
385,2019-06-26 6:25,0
390,2019-06-26 6:30,0
395,2019-06-26 6:35,0
400,2019-06-26 6:40,0
405,2019-06-26 6:45,0
410,2019-06-26 6:50,0
415,2019-06-26 6:55,0
420,2019-06-26 7:00,0
425,2019-06-26 7:05,0
430,2019-06-26 7:10,0
435,2019-06-26 7:15,0
440,2019-06-26 7:20,0
445,2019-06-26 7:25,0
450,2019-06-26 7:30,0
455,2019-06-26 7:35,0
460,2019-06-26 7:40,0
465,2019-06-26 7:45,0
470,2019-06-26 7:50,0
475,2019-06-26 7:55,0
480,2019-06-26 8:00,0
485,2019-06-26 8:05,0
490,2019-06-26 8:10,0
495,2019-06-26 8:15,0
500,2019-06-26 8:20,0
505,2019-06-26 8:25,0
510,2019-06-26 8:30,0
515,2019-06-26 8:35,0
520,2019-06-26 8:40,0
525,2019-06-26 8:45,0
530,2019-06-26 8:50,0
535,2019-06-26 8:55,0
540,2019-06-26 9:00,0
545,2019-06-26 9:05,0
550,2019-06-26 9:10,0
555,2019-06-26 9:15,0
560,2019-06-26 9:20,0
565,2019-06-26 9:25,0
570,2019-06-26 9:30,0
575,2019-06-26 9:35,0
580,2019-06-26 9:40,0
585,2019-06-26 9:45,0
590,2019-06-26 9:50,0
595,2019-06-26 9:55,0
600,2019-06-26 10:00,0
605,2019-06-26 10:05,0
610,2019-06-26 10:10,0
615,2019-06-26 10:15,0
620,2019-06-26 10:20,0
625,2019-06-26 10:25,0
630,2019-06-26 10:30,0
635,2019-06-26 10:35,0
640,2019-06-26 10:40,0
645,2019-06-26 10:45,0
650,2019-06-26 10:50,0
655,2019-06-26 10:55,0
660,2019-06-26 11:00,0
665,2019-06-26 11:05,0
670,2019-06-26 11:20,0
675,2019-06-26 11:27,0
680,2019-06-26 11:32,0
685,2019-06-26 11:37,0
690,2019-06-26 11:42,0
695,2019-06-26 11:47,0
700,2019-06-26 11:52,0
705,2019-06-26 11:57,0
710,2019-06-26 12:02,0
715,2019-06-26 12:07,0
720,2019-06-26 12:12,0
725,2019-06-26 12:17,0
730,2019-06-26 12:22,0
735,2019-06-26 12:27,0
740,2019-06-26 12:32,0
745,2019-06-26 12:37,0
750,2019-06-26 12:42,0
755,2019-06-26 12:47,0
760,2019-06-26 12:52,0
765,2019-06-26 12:57,0
770,2019-06-26 13:02,0
775,2019-06-26 13:07,0
780,2019-06-26 13:12,0
785,2019-06-26 13:17,0
790,2019-06-26 13:22,0
795,2019-06-26 13:27,0
800,2019-06-26 13:32,0
805,2019-06-26 13:37,0
810,2019-06-26 13:42,0
815,2019-06-26 13:47,0
820,2019-06-26 13:52,0
825,2019-06-26 13:57,0
830,2019-06-26 14:02,0
835,2019-06-26 14:07,0
840,2019-06-26 14:12,0
845,2019-06-26 14:17,0
850,2019-06-26 14:22,0
855,2019-06-26 14:27,0
860,2019-06-26 14:32,0
865,2019-06-26 14:37,0
870,2019-06-26 14:42,0
875,2019-06-26 14:47,0
880,2019-06-26 14:52,0
885,2019-06-26 14:57,0
890,2019-06-26 15:02,0
895,2019-06-26 15:07,0
900,2019-06-26 15:12,0
905,2019-06-26 15:17,0
910,2019-06-26 15:22,0
915,2019-06-26 15:27,0
920,2019-06-26 15:32,0
925,2019-06-26 15:37,0
930,2019-06-26 15:42,0
935,2019-06-26 15:47,0
940,2019-06-26 15:52,0
945,2019-06-26 15:57,0
950,2019-06-26 16:02,0
955,2019-06-26 16:07,0
960,2019-06-26 16:12,0
965,2019-06-26 16:17,0
970,2019-06-26 16:22,0
975,2019-06-26 16:27,0
980,2019-06-26 16:32,0
985,2019-06-26 16:37,0
990,2019-06-26 16:42,0
995,2019-06-26 16:47,0
1000,2019-06-26 16:52,0
1005,2019-06-26 16:57,0
1010,2019-06-26 17:02,0
1015,2019-06-26 17:07,0
1020,2019-06-26 17:12,0
1025,2019-06-26 17:17,0
1030,2019-06-26 17:22,0
1035,2019-06-26 17:27,0
1040,2019-06-26 17:32,0
1045,2019-06-26 17:37,0
1050,2019-06-26 17:42,0
1055,2019-06-26 17:47,0
1060,2019-06-26 17:52,0
1065,2019-06-26 17:57,0
1070,2019-06-26 18:02,0
1075,2019-06-26 18:07,0
1080,2019-06-26 18:12,0
1085,2019-06-26 18:17,0
1090,2019-06-26 18:22,0
1095,2019-06-26 18:27,0
1100,2019-06-26 18:32,0
1105,2019-06-26 18:37,0
1110,2019-06-26 18:42,0
1115,2019-06-26 18:47,0
1120,2019-06-26 18:52,0
1125,2019-06-26 18:57,0
1130,2019-06-26 19:02,0
1135,2019-06-26 19:07,0
1140,2019-06-26 19:12,0
1145,2019-06-26 19:17,0
1150,2019-06-26 19:22,0
1155,2019-06-26 19:27,0
1160,2019-06-26 19:32,0
1165,2019-06-26 19:37,0
1170,2019-06-26 19:42,0
1175,2019-06-26 19:47,0
1180,2019-06-26 19:52,0
1185,2019-06-26 19:57,0
1190,2019-06-26 20:02,0
1195,2019-06-26 20:07,0
1200,2019-06-26 20:12,0
1205,2019-06-26 20:17,0
1210,2019-06-26 20:22,0
1215,2019-06-26 20:27,0
1220,2019-06-26 20:32,0
1225,2019-06-26 20:37,0
1230,2019-06-26 20:42,0
1235,2019-06-26 20:47,0
1240,2019-06-26 20:52,0
1245,2019-06-26 20:57,0
1250,2019-06-26 21:02,0
1255,2019-06-26 21:07,0
1260,2019-06-26 21:12,0
1265,2019-06-26 21:17,0
1270,2019-06-26 21:22,0
1275,2019-06-26 21:27,0
1280,2019-06-26 21:32,0
1285,2019-06-26 21:37,0
1290,2019-06-26 21:42,0
1295,2019-06-26 21:47,0
1300,2019-06-26 21:52,0
1305,2019-06-26 21:57,0
1310,2019-06-26 22:02,0
1315,2019-06-26 22:07,0
1320,2019-06-26 22:12,0
1325,2019-06-26 22:17,0
1330,2019-06-26 22:22,0
1335,2019-06-26 22:27,0
1340,2019-06-26 22:32,0
1345,2019-06-26 22:37,0
1350,2019-06-26 22:42,0
1355,2019-06-26 22:47,0
1360,2019-06-26 22:52,0
1365,2019-06-26 22:57,0
1370,2019-06-26 23:02,0
1375,2019-06-26 23:07,0
1380,2019-06-26 23:12,0
1385,2019-06-26 23:17,0
1390,2019-06-26 23:22,0
1395,2019-06-26 23:27,0
1400,2019-06-26 23:32,0
1405,2019-06-26 23:37,0
1410,2019-06-26 23:42,0.5
1415,2019-06-26 23:47,0
1420,2019-06-26 23:52,0
1425,2019-06-26 23:57,0
5,2019-06-27 0:05,0.5
10,2019-06-27 0:10,0
15,2019-06-27 0:15,0
20,2019-06-27 0:20,0
25,2019-06-27 0:25,0
30,2019-06-27 0:30,0
35,2019-06-27 0:35,0
40,2019-06-27 0:40,0
45,2019-06-27 0:45,0
50,2019-06-27 0:50,0
55,2019-06-27 0:55,0
60,2019-06-27 1:00,0
65,2019-06-27 1:05,0
70,2019-06-27 1:10,0
75,2019-06-27 1:15,0
80,2019-06-27 1:20,0
85,2019-06-27 1:25,0
90,2019-06-27 1:30,0
95,2019-06-27 1:35,0
100,2019-06-27 1:40,0
105,2019-06-27 1:45,0
110,2019-06-27 1:50,0
115,2019-06-27 1:55,0
120,2019-06-27 2:00,0
125,2019-06-27 2:05,0
130,2019-06-27 2:10,0
135,2019-06-27 2:15,0
140,2019-06-27 2:20,0
145,2019-06-27 2:25,0
150,2019-06-27 2:30,0
155,2019-06-27 2:35,0
160,2019-06-27 2:40,0
165,2019-06-27 2:45,0
170,2019-06-27 2:50,0
175,2019-06-27 2:55,0
180,2019-06-27 3:00,0
185,2019-06-27 3:05,0
190,2019-06-27 3:10,0
195,2019-06-27 3:15,0
200,2019-06-27 3:20,0
205,2019-06-27 3:25,0
210,2019-06-27 3:30,0
215,2019-06-27 3:35,0
220,2019-06-27 3:40,0
225,2019-06-27 3:45,0
230,2019-06-27 3:50,0
235,2019-06-27 3:55,0
240,2019-06-27 4:00,0
245,2019-06-27 4:05,0
250,2019-06-27 4:10,0
